trust_code,region,trust_name,period,total_attendances,within_4hrs,pct_4hrs_total,pct_4 hrs_type1,total_emergency_dmissions,over_12hrs
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,2025-05,"25,704","19,530",76.0,63.0,"7,151",5
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,2025-05,"17,406","12,682",72.9,58.3,"3,424",207
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,2025-05,"17,474","12,974",74.2,49.9,"3,052",132
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,2025-05,"28,353","22,106",78.0,55.8,"7,574",470
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,2025-05,"1,194","1,103",92.4,,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),2025-05,"2,378","2,341",98.4,,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,2025-05,"9,059","6,114",67.5,62.2,"2,201",205
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,2025-05,"35,102","24,751",70.5,67.0,"9,783",378
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,2025-05,"14,039","10,672",76.0,62.6,"2,690",0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,2025-05,"21,050","17,130",81.4,70.3,"4,150",198
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,2025-05,"20,308","13,702",67.5,57.9,"4,909",838
Y02428,NHS England East Of England ,Putnoe Walk In Centre,2025-05,"2,636","2,636",100.0,,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,2025-05,"11,152","7,224",64.8,54.2,"2,142",125
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",2025-05,"7,959","4,956",62.3,55.6,"2,239",90
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,2025-05,"17,134","14,345",83.7,67.0,"4,971",30
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,2025-05,"8,945","7,022",78.5,76.6,"2,457",102
G0Q0L,NHS England London,Barking Hospital Utc,2025-05,"2,788","2,754",98.8,,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust",2025-05,"30,901","24,472",79.2,56.3,"8,617",642
R1H,NHS England London,Barts Health NHS Trust,2025-05,"45,889","32,237",70.2,54.7,"5,662",988
AD913,NHS England London,Beckenham Beacon Ucc,2025-05,"4,003","3,983",99.5,,0,0
