period,region,avg_4hr_performance
2025-04,NHS England East Of England ,61.5
2025-04,NHS England London,62.5
2025-04,NHS England Midlands ,59.4
2025-04,NHS England North East And Yorkshire ,61.2
2025-04,NHS England North West ,56.2
2025-04,NHS England South East ,62.4
2025-04,NHS England South West ,56.8
2025-05,NHS England East Of England ,61.6
2025-05,NHS England London,62.3
2025-05,NHS England Midlands ,60.6
2025-05,NHS England North East And Yorkshire ,63.3
2025-05,NHS England North West ,57.1
2025-05,NHS England South East ,63.2
2025-05,NHS England South West ,57.9
2025-06,NHS England East Of England ,62.5
2025-06,NHS England London,62.9
2025-06,NHS England Midlands ,60.9
2025-06,NHS England North East And Yorkshire ,63.3
2025-06,NHS England North West ,56.9
2025-06,NHS England South East ,64.3
2025-06,NHS England South West ,58.1
2025-07,NHS England East Of England ,63.6
2025-07,NHS England London,64.6
2025-07,NHS England Midlands ,62.1
2025-07,NHS England North East And Yorkshire ,65.7
2025-07,NHS England North West ,56.4
2025-07,NHS England South East ,65.2
2025-07,NHS England South West ,61.7
2025-08,NHS England East Of England ,62.6
2025-08,NHS England London,63.4
2025-08,NHS England Midlands ,61.4
2025-08,NHS England North East And Yorkshire ,64.4
2025-08,NHS England North West ,57.5
2025-08,NHS England South East ,64.6
2025-08,NHS England South West ,59.7
2025-09,NHS England East Of England ,62.6
2025-09,NHS England London,61.8
2025-09,NHS England Midlands ,60.3
2025-09,NHS England North East And Yorkshire ,62.3
2025-09,NHS England North West ,56.6
2025-09,NHS England South East ,64.6
2025-09,NHS England South West ,56.6
2025-10,NHS England East Of England ,61.8
2025-10,NHS England London,61.9
2025-10,NHS England Midlands ,58.8
2025-10,NHS England North East And Yorkshire ,60.6
2025-10,NHS England North West ,56.3
2025-10,NHS England South East ,62.5
2025-10,NHS England South West ,56.3
2025-11,NHS England East Of England ,62.7
2025-11,NHS England London,62
2025-11,NHS England Midlands ,58.5
2025-11,NHS England North East And Yorkshire ,60.3
2025-11,NHS England North West ,56.9
2025-11,NHS England South East ,63.3
2025-11,NHS England South West ,58
2025-12,NHS England East Of England ,62.4
2025-12,NHS England London,61.7
2025-12,NHS England Midlands ,57.5
2025-12,NHS England North East And Yorkshire ,60.2
2025-12,NHS England North West ,55.9
2025-12,NHS England South East ,61.9
2025-12,NHS England South West ,56.8
2026-01,NHS England East Of England ,58.8
2026-01,NHS England London,59.4
2026-01,NHS England Midlands ,55.7
2026-01,NHS England North East And Yorkshire ,57.6
2026-01,NHS England North West ,54.3
2026-01,NHS England South East ,59.3
2026-01,NHS England South West ,52.5
2026-02,NHS England East Of England ,60.2
2026-02,NHS England London,62.3
2026-02,NHS England Midlands ,58.6
2026-02,NHS England North East And Yorkshire ,60.9
2026-02,NHS England North West ,53.9
2026-02,NHS England South East ,62.8
2026-02,NHS England South West ,53.6
2026-03,NHS England East Of England ,65.6
2026-03,NHS England London,66.6
2026-03,NHS England Midlands ,64.4
2026-03,NHS England North East And Yorkshire ,66
2026-03,NHS England North West ,59.7
2026-03,NHS England South East ,66.1
2026-03,NHS England South West ,56.2
